State,LGA,11: Separate house,"21: Semi-detached, row or terrace house, townhouse etc. with : One storey","22: Semi-detached, row or terrace house, townhouse etc. with : Two or more storeys",31: Flat or apartment: In a one or two storey block,32: Flat or apartment: In a three storey block,33: Flat or apartment: In a four or more storey block,34: Flat or apartment: Attached to a house,91: Caravan,"92: Cabin, houseboat","93: Improved home, tent, sleepers out","94: House or flat attached to a shop, office, etc.",Z: Not stated
5: Western Australia,58510: Victoria Park (T),2358,1388,707,472,437,751,0,0,0,0,4,26
5: Western Australia,58470: Upper Gascoyne (S),45,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,58400: Trayning (S),39,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,58330: Toodyay (S),215,10,0,0,0,0,0,4,7,0,0,0
5: Western Australia,58260: Three Springs (S),76,0,0,7,0,0,0,0,0,0,0,0
5: Western Australia,58190: Tammin (S),43,0,0,0,0,0,0,0,0,0,0,3
5: Western Australia,58050: Swan (C),6862,2109,455,164,224,19,0,12,29,3,12,39
5: Western Australia,57980: Subiaco (C),740,161,737,726,702,547,0,0,0,0,3,9
5: Western Australia,57910: Stirling (C),9122,10656,2491,2846,1326,326,5,9,0,0,12,68
5: Western Australia,57840: South Perth (C),1916,1276,1509,570,432,425,0,3,0,0,0,31
5: Western Australia,57770: Shark Bay (S),161,22,0,18,0,0,0,33,11,10,3,4
5: Western Australia,57700: Serpentine-Jarrahdale (S),1112,38,0,0,0,0,0,0,0,0,4,4
5: Western Australia,57630: Sandstone (S),13,0,0,0,0,0,0,3,0,0,0,0
5: Western Australia,57490: Rockingham (C),9035,1091,306,568,13,62,0,38,15,0,8,14
5: Western Australia,57350: Quairading (S),99,0,0,9,0,0,0,0,0,0,0,3
5: Western Australia,56230: Murray (S),1079,125,3,17,0,0,0,14,23,3,7,3
5: Western Australia,57280: Port Hedland (T),2620,175,126,456,51,53,0,17,12,3,6,28
5: Western Australia,57210: Plantagenet (S),440,4,0,4,0,0,0,0,0,0,0,0
5: Western Australia,57140: Pingelly (S),104,0,0,15,0,0,0,0,0,0,0,0
5: Western Australia,57080: Perth (C),42,16,173,191,882,4407,0,0,0,3,4,31
