COMMON_USAGE_NAME,RESPONSIBILITY_AREA,LOCAL_GOVERNMENT_NAME,REST_AREA_TYPE,STAY_24_HOUR,OWNERSHIP,SURFACE,SURFACE_TYPE,CONSTRUCTED_SHELTER,NATURAL_SHADE,NUMBER_OF_BINS,NUMBER_OF_TOILETS,ACCESSIBLE_TOILETS,NUMBER_OF_TABLES,ACCESSIBLE_TABLES,LATITUDE,LONGITUDE
Massingham St,Wheatbelt,Kellerberrin,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,5,2,Yes,2,No,-31.633837472,117.718217965
Manuwarra Red Dog Hwy,Pilbara,Ashburton,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-21.337554267,117.097594794
Donnybrook Kojonup Rd,South West,Donnybrook - Balingup,Major Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,0,0,No,0,No,-33.5362057209999,115.9868014
Marble Bar Rd,Pilbara,East Pilbara,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-20.7097874319999,119.324782471
Muir Hwy,Great Southern,Plantagenet,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-34.656746305,117.517748731
Vasse Hwy,South West,Busselton (C),Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,0,0,No,0,No,-33.7738116859999,115.57093968
South Western Hwy,South West,Bridgetown - Greenbushes,Major Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,2,0,No,0,No,-33.853822217,116.08691568
Great Northern Hwy,Wheatbelt,Victoria Plains,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-30.9752618539999,116.225390896
Eyre Hwy,Goldfields - Esperance,Dundas,Major Rest Area,Yes,Main Roads,Surfaced,Two Coat Seal,No,Yes,5,1,No,3,No,-32.068629265,122.559001415
Eyre Hwy,Goldfields - Esperance,Dundas,Minor Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,Yes,2,0,No,1,No,-32.120785981,123.166055391
Great Northern Hwy,Mid West-Gascoyne,Cue,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-27.636472602,117.873349143
Great Eastern Hwy,Wheatbelt,Merredin,Heavy Vehicle Rest Area,No,Main Roads,Surfaced,Two Coat Seal,No,No,2,0,No,0,No,-31.4052504599999,118.458582325
South Western Hwy,South West,Donnybrook - Balingup,Minor Rest Area,No,Main Roads,Surfaced,Single Seal,No,Yes,0,0,No,0,No,-33.5558940509999,115.773741534
Nanutarra Munjina Rd,Pilbara,Ashburton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-22.807725417,117.480020454
Brand Hwy,Mid West-Gascoyne,Dandaragan,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,2,0,No,0,No,-30.821881721,115.589819745
Marble Bar Rd,Pilbara,East Pilbara,Heavy Vehicle Rest Area,No,Main Roads,Unsurfaced,Unknown,No,No,1,0,No,0,No,-21.700422327,120.081276674
Brookton Hwy,Wheatbelt,Brookton,Minor Rest Area,No,Main Roads,Unsurfaced,Unknown,No,Yes,1,0,No,0,No,-32.396865992,116.826541379
